subset,instrument,instrument_id,song_id,uuid4,noise_category
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,ambience
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,applause
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,bird
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,crowd
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,fan
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,microphone
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,rain
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,street
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,talking
test,piano,4,83,005d3d9e-199d-5a94-f244-1758d173b2b9,white_noise
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,ambience
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,applause
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,bird
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,crowd
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,fan
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,microphone
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,rain
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,street
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,talking
test,female singer,2,35,00a2d22d-edef-554a-f09f-c04fe172bb5e,white_noise
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,ambience
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,applause
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,bird
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,crowd
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,fan
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,microphone
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,rain
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,street
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,talking
validation,flute,3,211,014d0642-4796-5895-f46c-4cdbdf5193fe,white_noise
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,ambience
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,applause
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,bird
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,crowd
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,fan
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,microphone
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,rain
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,street
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,talking
test,violin,7,125,0162c34d-23ee-53cc-f2f7-6ac89e4d6344,white_noise
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,ambience
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,applause
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,bird
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,crowd
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,fan
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,microphone
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,rain
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,street
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,talking
validation,violin,7,226,01732cc0-f545-559e-f050-631f4dc1d137,white_noise
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,ambience
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,applause
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,bird
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,crowd
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,fan
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,microphone
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,rain
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,street
test,flute,3,51,01b13440-aaa6-54e1-f72e-d13787b92c08,talking
